Label	rev_id	comment	year	logged_in	ns	sample	split
0	5675556.0	"   Hi. I am new to this and am not a registered user yet so do not know another way to send you a comment.  This is re: the entries on David Brock & The American Spectator.  I am 100% positive the quote from the Brock article on Anita Hill in the magazine is ""a bit nutty, and a bit slutty"" (actual quote is: ""So Hill may be a bit nutty, and a bit slutty, but is she an outright liar?"") because I checked it in the original magazine article.  I believe the quote is the same in the Real Anita Hill book, but I do not have the book on hand to check so I will not argue that at at this time.  It is true that the quote has been widely reportered as having ""little"" in it, but that error spread uncontrollably in the age of Nexis after Andrew Sullivan and others quoted it incorrectly.  Thank you for your edits!"	2004	False	user	random	train
0	367678856.0	"  I note that people on here just got Wikid77 blocked for three months because he allegedly communicated behind closed doors, called ""canvassing."" Why isn't re-writing a whole article just with a group of people who all agree with each other, with no clear notice to the public what is going on or where this draft is located, or how they can participate, even worse? This sure looks worse to me, like some sort of Tag Team situation, even if it isn't exactly canvassing. I don't see why it is okay for a group to plan to remove a whole article behind closed doors, while what he did is so egregious you wanted him blocked for three months. In my opinion, this attempted re-write behind closed doors violates Wikipedia policy on openness. That is all I am going to say for now at this level. Have a nice day.   "	2010	True	article	blocked	test
0	99689578.0	"uranium""] Inhaled Particles, vol. 2, pp. 819-38, at p. 836."	2007	True	article	random	test
0	161439753.0	   == Like my Topic? == I made a topic in Thomas R. Grover Middle School titled school clubs Like it? plzz reply back to my uder talk thingy 	2007	True	user	random	train
0	165802854.0	  ==The Jefferson School==  The article deleted because it was copied from another website. This is copyright violation and against the law. "' 	2007	True	user	blocked	test
0	76347088.0	"  :::::Once again, I disagree on all counts. It should be PATENTLY obviously to anyone reading about vaginoplasty and metoidioplasty surgery whose purpose is the creation of a vagina or a penis, that it is about the vagina and genitalia in a surgical context and that therefore photos of the surgery will of necessity include photos of the vagina or the penis as is relevant to the surgical procedure. The graphic is entirely editorial, and unfairly demonstrates a bias on the part of an author that is unfair and un called for in this context. I believe such notices set a socially incorrect precedent that should be reversed. Such notices are inappropriate in a medical context. An encyclopedia for the world should not ""cau tau"" to the overly prudish, biased, morees of certain absurdly puritanical cultures. Regarding the citation issues, I will repeat that this article is being held to an unfair and entirely biased standard that is not at all representative of the wikipedia and does not serve either its contributors or the likely potential readers of this article about this surgeon. Most people looking for this article will already be at least marginally aware that the surgical techniques Toby Meltzer has pioneered have given him renown among his peers, patients, and potential patients. A google search on ""Toby Meltzer"" will reveal the countless ocassions on which Toby Meltzer, MD is asked to give public presentations on his work.  20:16, 17 September 2006."	2006	True	article	blocked	dev
0	625046927.0	 ::::::Yes, Umbrella (as song, as video) is very significant for Rihanna fans.   	2014	True	article	blocked	train
0	75474120.0	     This block is unjustified, is because he is extremist, and always like bloking me!!	2006	True	user	blocked	dev
0	308339129.0	"  Actually, only one sign in the movie says that, and it was written by an activist shown briefly, so the actual spelling is ""prawn"".     == ""Command Module"" ==  In the plot summary, it says that Christopher had the command module under his house and flew to the mothership in it. However, in the movie it is implied that it's not a command module but some sort of ship, and the only reason Christopher needed it was to get to the mothership. If nobody disagrees, I will change it to say that.   "	2009	True	article	blocked	train
0	467471622.0	Sahrawi Youth Union. 	2011	True	article	blocked	train
0	291824761.0	  ==Titanic Material added to article==  The content of your sandbox page outlining additional factors involved in the sinking of RMS Titanic was well written, and outshone much of the material on Wikipedia's main article. I intend to do some work on the page in the near future (I added something about the sea trials), but in the mean time have transferred some of the material from the sandbox page into the main article, in the hope that there it will receive more frequent amendation. Since the sandbox appears to have been unmodified since 2007, I thought this a sensible thing to do.  Given the p    	2009	True	user	random	train
0	111394714.0	  :Sorry, didn't see that at first.  I just saw that he had edited some articles.  Thanks.   	2007	True	user	random	test
0	144339094.0	 Welcome  Hello and welcome to Wikipedia.  We appreciate encyclopedic contributions, but some of your recent contributions seem to be advertising or for promotional purposes.  Wikipedia does not allow advertising in articles.  For more information on this, see *Policy on neutral point of view *Guideline on spam *Guideline on external links *Guideline on conflict of interest If you still have questions, there is a new contributor's help page, or you can write {{helpme}} below this message along with a question and someone will be along to answer it shortly.  You may also find the following pages useful for a general introduction to Wikipedia. *The five pillars of Wikipedia *How to edit a page *Help pages *Tutorial *How to write a great article *Manual of Style I hope you enjoy editing Wikipedia!  Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. Feel free to write a note on the bottom of my talk page if you want to get in touch with me. Again, welcome!  	2007	True	user	random	train
0	337165101.0	  :Kwami, the unblock has not taken effect. I can't contact you directly on you talk. Please respond. (I won't care as soon as it goes away, btw.)   	2010	True	user	blocked	train
0	138117706.0	Please do not add inappropriate external links to Wikipedia. Wikipedia is not a mere directory of links nor should it be used for advertising or promotion.  Inappropriate links include (but are not limited to) links to personal web sites, links to web sites with which you are affiliated, and links that exist to attract visitors to a web site or promote a product.  See the external links guideline and spam policies for further explanations of links that are considered appropriate.  If you feel the link should be added to the article, then please discuss it on the article's talk page rather than re-adding it. See the welcome page to learn more about Wikipedia. Thank you.   	2007	True	user	random	train
0	598472219.0	it was in the wrong place or	2014	True	user	random	train
0	200517115.0	 :: And my email adress: Alden.Jone@gmail.com	2008	True	user	blocked	dev
0	277007873.0	  Does anyone know where the 6 for €8 fosters is gone? havnt seen that feckin pack lately	2009	False	article	blocked	train
0	196925362.0	 :Are you saying Quinn is fringe or Quinn's argument on gays is fringe? I'm not sure Quinn himself is fringe. Ed Decker on the other hand... I'd say if consensus around the definition of a fringe critic could be built and fringe critics could be identified, a better place for their criticisms would be the Anti-Mormonism article. That would be consistent with WP:FRINGE because it would place the criticisms in context. That being said, I do agree with your identification of Quinn as an openly gay critic, given the nature of his criticism.   	2008	True	article	random	train
0	679474510.0	  == Uma Thurman ==  Hello, Noreplyhaha! If you'd like to make a case for undoing my edits to the Uma Thurman entry, I'd love to know what your reasons are. I think my edits are all justified for the reasons I stated in the comments, and I will be re-entering them unless there is an important reason not to.    	2015	True	user	blocked	dev
0	650142814.0	  ==RILW180MMEF-BEK== Hiya TheLongTone, yeah that was just an accident, sorry   	2015	True	user	blocked	dev
0	296635498.0	racisim. Obviously it has failed.]]  	2009	False	user	blocked	train
0	430561626.0	  Ok. hey there is a favor i need from you.   	2011	True	user	random	train
1	350617652.0	so many ppl tlk on dis stoopid site i swear they must be retarded	2010	False	article	blocked	train
1	164969000.0	  SUZANNE IS A LOSER!!!	2007	False	article	random	dev
0	73196394.0	  ==Doc== See my note on  Wikipedia talk:Template doc page pattern. Rgds,   09:36 1  September 2006 (GMT).	2006	True	user	random	train
0	224634700.0	Doesn't matter to me. I just wanted to test you.   	2008	True	user	blocked	test
1	173319562.0	 Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my messages. Sannse is a big fat bitch for not leaving the users alone along with Angela. Billj is a Dumbass for deleting my m	2007	False	user	blocked	dev
